matcher,pattern,id_text,Designation,lemma
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Šamaš-ittannu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Labaši[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Šamaš-ittannu[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Uṣuršu-Anu[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Rihat-Anu[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ah-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Rihat-Anu[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Sumuttu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ah-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ah-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Illut-Anu[00]PN māru[son]N ša[of]DET Ubar[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Nidintu-Anu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Labaši[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Arad-Reš[00]PN māru[son]N ša[of]DET Mannu-ki-X[00]PN
